Region,Country,Item Type,Sales Channel,Order Priority,Order ID,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Central America and the Caribbean,Barbados,Snacks,Online,L,533725535,101,152.58,97.44,15410.58,9841.44,5569.14
Sub-Saharan Africa,Equatorial Guinea,Personal Care,Online,L,600763165,8026,81.73,56.67,655964.98,454833.42,201131.56
Australia and Oceania,East Timor,Vegetables,Offline,L,295982253,6581,154.06,90.93,1013868.86,598410.33,415458.53
Sub-Saharan Africa,The Gambia,Meat,Offline,M,502244126,4053,421.89,364.69,1709920.17,1478088.57,231831.6
Middle East and North Africa,Somalia,Personal Care,Offline,L,372722613,5759,81.73,56.67,470683.07,326362.53,144320.54
Europe,Andorra,Snacks,Offline,C,480904042,9048,152.58,97.44,1380543.84,881637.12,498906.72
Middle East and North Africa,Egypt,Household,Offline,L,570587241,8299,668.27,502.54,5545972.73,4170579.46,1375393.27
Asia,Singapore,Cereal,Offline,H,905883538,9925,205.7,117.11,2041572.5,1162316.75,879255.75
Central America and the Caribbean,Saint Vincent and the Grenadines,Vegetables,Offline,L,921216762,7366,154.06,90.93,1134805.96,669790.38,465015.58
Europe,Armenia,Vegetables,Online,M,571323239,6097,154.06,90.93,939303.82,554400.21,384903.61
Sub-Saharan Africa,Senegal,Cosmetics,Online,M,781251800,8623,437.2,263.33,3769975.6,2270694.59,1499281.01
Asia,Taiwan,Meat,Offline,C,296363770,9480,421.89,364.69,3999517.2,3457261.2,542256
Middle East and North Africa,Libya,Vegetables,Online,H,632332980,236,154.06,90.93,36358.16,21459.48,14898.68
Middle East and North Africa,Azerbaijan,Cosmetics,Offline,H,225145757,4487,437.2,263.33,1961716.4,1181561.71,780154.69
Europe,Italy,Snacks,Online,H,281100928,2866,152.58,97.44,437294.28,279263.04,158031.24
Middle East and North Africa,Libya,Snacks,Online,H,726809823,8033,152.58,97.44,1225675.14,782735.52,442939.62
Europe,Croatia,Household,Online,L,659196269,9680,668.27,502.54,6468853.6,4864587.2,1604266.4
Europe,Bulgaria,Personal Care,Offline,H,595496594,9530,81.73,56.67,778886.9,540065.1,238821.8
Middle East and North Africa,Egypt,Cosmetics,Offline,C,223259627,6340,437.2,263.33,2771848,1669512.2,1102335.8
Sub-Saharan Africa,Guinea-Bissau,Vegetables,Online,H,650346696,894,154.06,90.93,137729.64,81291.42,56438.22
Europe,Ireland,Personal Care,Offline,H,354931628,1011,81.73,56.67,82629.03,57293.37,25335.66
Middle East and North Africa,Afghanistan,Snacks,Online,M,135500752,6539,152.58,97.44,997720.62,637160.16,360560.46
Central America and the Caribbean,Honduras,Cereal,Online,H,860852897,4357,205.7,117.11,896234.9,510248.27,385986.63
Middle East and North Africa,Qatar,Vegetables,Offline,H,320099389,3377,154.06,90.93,520260.62,307070.61,213190.01
Sub-Saharan Africa,Mali,Office Supplies,Offline,M,872664058,9542,651.21,524.96,6213845.82,5009168.32,1204677.5
Asia,Malaysia,Cereal,Offline,H,898283231,825,205.7,117.11,169702.5,96615.75,73086.75
Asia,Turkmenistan,Cereal,Online,L,647005736,2230,205.7,117.11,458711,261155.3,197555.7
Australia and Oceania,Solomon Islands,Beverages,Online,C,889192903,795,47.45,31.79,37722.75,25273.05,12449.7
Asia,Bhutan,Fruits,Online,L,665518558,585,9.33,6.92,5458.05,4048.2,1409.85
Europe,Spain,Meat,Offline,C,436969029,7701,421.89,364.69,3248974.89,2808477.69,440497.2
Asia,Taiwan,Cosmetics,Online,H,734843146,5272,437.2,263.33,2304918.4,1388275.76,916642.64
Europe,Moldova,Vegetables,Online,L,810752236,8458,154.06,90.93,1303039.48,769085.94,533953.54
Europe,Italy,Office Supplies,Offline,C,886620128,9453,651.21,524.96,6155888.13,4962446.88,1193441.25
Sub-Saharan Africa,Mozambique,Meat,Online,M,804683148,2480,421.89,364.69,1046287.2,904431.2,141856
Australia and Oceania,Solomon Islands,Household,Online,L,477490127,8794,668.27,502.54,5876766.38,4419336.76,1457429.62
Australia and Oceania,Tonga,Snacks,Online,H,337902390,1681,152.58,97.44,256486.98,163796.64,92690.34
Europe,Finland,Cereal,Offline,M,889093768,1458,205.7,117.11,299910.6,170746.38,129164.22
Europe,Poland,Cereal,Online,C,454550588,475,205.7,117.11,97707.5,55627.25,42080.25
Asia,Turkmenistan,Clothes,Offline,H,128071677,8110,109.28,35.84,886260.8,290662.4,595598.4
Asia,North Korea,Personal Care,Online,M,623768365,5776,81.73,56.67,472072.48,327325.92,144746.56
Europe,Austria,Office Supplies,Online,L,926064479,1913,651.21,524.96,1245764.73,1004248.48,241516.25
Sub-Saharan Africa,Mali,Personal Care,Online,H,539696347,6997,81.73,56.67,571864.81,396519.99,175344.82
Australia and Oceania,Samoa,Household,Offline,L,839712798,8532,668.27,502.54,5701679.64,4287671.28,1414008.36
Asia,Indonesia,Beverages,Offline,C,121475160,6054,47.45,31.79,287262.3,192456.66,94805.64
Central America and the Caribbean,Jamaica,Clothes,Online,H,350657260,6130,109.28,35.84,669886.4,219699.2,450187.2
Europe,Andorra,Fruits,Offline,C,413245427,7360,9.33,6.92,68668.8,50931.2,17737.6
Sub-Saharan Africa,Zimbabwe,Household,Offline,M,165538489,5372,668.27,502.54,3589946.44,2699644.88,890301.56
Europe,Finland,Beverages,Online,H,884147775,7829,47.45,31.79,371486.05,248883.91,122602.14
Sub-Saharan Africa,Guinea,Cosmetics,Online,C,315997111,9422,437.2,263.33,4119298.4,2481095.26,1638203.14
Europe,Andorra,Cosmetics,Online,C,328322827,6876,437.2,263.33,3006187.2,1810657.08,1195530.12
Europe,Germany,Snacks,Online,H,158673751,3944,152.58,97.44,601775.52,384303.36,217472.16
Europe,Italy,Snacks,Offline,L,464911210,6413,152.58,97.44,978495.54,624882.72,353612.82
Asia,Taiwan,Baby Food,Online,L,175209033,7101,255.28,159.42,1812743.28,1132041.42,680701.86
Middle East and North Africa,Morocco,Household,Online,L,538053548,856,668.27,502.54,572039.12,430174.24,141864.88
Sub-Saharan Africa,Republic of the Congo,Personal Care,Online,H,172243583,9559,81.73,56.67,781257.07,541708.53,239548.54
Central America and the Caribbean,The Bahamas,Baby Food,Offline,H,916890466,7119,255.28,159.42,1817338.32,1134910.98,682427.34
Asia,Maldives,Office Supplies,Online,M,181418025,4480,651.21,524.96,2917420.8,2351820.8,565600
Europe,Serbia,Beverages,Online,C,395562589,4615,47.45,31.79,218981.75,146710.85,72270.9
Europe,Italy,Baby Food,Offline,H,459372985,7529,255.28,159.42,1922003.12,1200273.18,721729.94
Europe,Armenia,Meat,Online,L,693210542,5259,421.89,364.69,2218719.51,1917904.71,300814.8
Asia,Kyrgyzstan,Personal Care,Offline,L,587749087,6871,81.73,56.67,561566.83,389379.57,172187.26
Europe,Sweden,Fruits,Offline,L,153974950,3464,9.33,6.92,32319.12,23970.88,8348.24
Sub-Saharan Africa,Kenya,Vegetables,Online,L,373186957,3169,154.06,90.93,488216.14,288157.17,200058.97
Australia and Oceania,Federated States of Micronesia,Personal Care,Offline,M,946996438,6145,81.73,56.67,502230.85,348237.15,153993.7
Europe,Romania,Snacks,Online,H,747327220,9587,152.58,97.44,1462784.46,934157.28,528627.18
Sub-Saharan Africa,Botswana,Household,Offline,H,966415631,2716,668.27,502.54,1815021.32,1364898.64,450122.68
Europe,Bosnia and Herzegovina,Clothes,Online,M,166810500,1789,109.28,35.84,195501.92,64117.76,131384.16
Australia and Oceania,Samoa,Meat,Offline,H,131373155,5091,421.89,364.69,2147841.99,1856636.79,291205.2
Sub-Saharan Africa,Comoros,Vegetables,Online,L,913277423,7939,154.06,90.93,1223082.34,721893.27,501189.07
Europe,Lithuania,Personal Care,Offline,M,386009633,7683,81.73,56.67,627931.59,435395.61,192535.98
Europe,Germany,Personal Care,Offline,H,993368613,8702,81.73,56.67,711214.46,493142.34,218072.12
Sub-Saharan Africa,Ghana,Office Supplies,Offline,H,299465692,7408,651.21,524.96,4824163.68,3888903.68,935260
Middle East and North Africa,Israel,Vegetables,Offline,L,438724696,7242,154.06,90.93,1115702.52,658515.06,457187.46
Asia,Philippines,Cosmetics,Offline,H,465881955,3678,437.2,263.33,1608021.6,968527.74,639493.86
Europe,Germany,Baby Food,Online,L,405986297,9222,255.28,159.42,2354192.16,1470171.24,884020.92
Sub-Saharan Africa,Republic of the Congo,Household,Online,M,804399049,8409,668.27,502.54,5619482.43,4225858.86,1393623.57
Europe,Bulgaria,Beverages,Online,H,476794040,2807,47.45,31.79,133192.15,89234.53,43957.62
Middle East and North Africa,Egypt,Personal Care,Offline,L,559157598,6014,81.73,56.67,491524.22,340813.38,150710.84
Sub-Saharan Africa,Comoros,Cosmetics,Online,H,457788550,8660,437.2,263.33,3786152,2280437.8,1505714.2
Middle East and North Africa,Tunisia,Vegetables,Online,L,999298226,3407,154.06,90.93,524882.42,309798.51,215083.91
Europe,Serbia,Meat,Offline,C,380610454,9946,421.89,364.69,4196117.94,3627206.74,568911.2
Asia,Brunei,Baby Food,Online,C,918961560,2,255.28,159.42,510.56,318.84,191.72
Sub-Saharan Africa,Mauritania,Office Supplies,Online,H,501900374,2329,651.21,524.96,1516668.09,1222631.84,294036.25
Sub-Saharan Africa,The Gambia,Household,Online,M,237288224,7713,668.27,502.54,5154366.51,3876091.02,1278275.49
Asia,Taiwan,Cosmetics,Online,C,403298938,3973,437.2,263.33,1736995.6,1046210.09,690785.51
Asia,Japan,Snacks,Offline,H,898418843,955,152.58,97.44,145713.9,93055.2,52658.7
Asia,Malaysia,Snacks,Offline,L,791446769,5541,152.58,97.44,845445.78,539915.04,305530.74
Central America and the Caribbean,Trinidad and Tobago,Beverages,Offline,M,571494042,6642,47.45,31.79,315162.9,211149.18,104013.72
Central America and the Caribbean,Haiti,Cosmetics,Offline,M,797984492,199,437.2,263.33,87002.8,52402.67,34600.13
Central America and the Caribbean,Trinidad and Tobago,Cosmetics,Offline,C,750654447,4187,437.2,263.33,1830556.4,1102562.71,727993.69
Sub-Saharan Africa,Uganda,Clothes,Offline,L,679552733,3610,109.28,35.84,394500.8,129382.4,265118.4
Europe,France,Vegetables,Offline,L,455040681,5504,154.06,90.93,847946.24,500478.72,347467.52
Europe,Iceland,Clothes,Online,M,917792117,3938,109.28,35.84,430344.64,141137.92,289206.72
Europe,Albania,Cosmetics,Offline,L,728793370,5009,437.2,263.33,2189934.8,1319019.97,870914.83
Sub-Saharan Africa,Chad,Fruits,Offline,C,419343268,1847,9.33,6.92,17232.51,12781.24,4451.27
Middle East and North Africa,Somalia,Cereal,Online,M,141053140,9613,205.7,117.11,1977394.1,1125778.43,851615.67
Sub-Saharan Africa,Mauritius,Cereal,Online,C,115846812,501,205.7,117.11,103055.7,58672.11,44383.59
Europe,Austria,Fruits,Offline,M,185960614,8733,9.33,6.92,81478.89,60432.36,21046.53
Sub-Saharan Africa,Swaziland,Household,Offline,C,263943374,5565,668.27,502.54,3718922.55,2796635.1,922287.45
Sub-Saharan Africa,Djibouti,Office Supplies,Offline,M,782656419,4282,651.21,524.96,2788481.22,2247878.72,540602.5
Europe,Finland,Office Supplies,Offline,H,445273578,5201,651.21,524.96,3386943.21,2730316.96,656626.25
Asia,Taiwan,Office Supplies,Online,C,275281178,673,651.21,524.96,438264.33,353298.08,84966.25
Sub-Saharan Africa,Senegal,Fruits,Online,M,466478049,76,9.33,6.92,709.08,525.92,183.16
Middle East and North Africa,Somalia,Meat,Offline,H,832975518,4821,421.89,364.69,2033931.69,1758170.49,275761.2
Europe,Georgia,Baby Food,Online,L,359197413,3352,255.28,159.42,855698.56,534375.84,321322.72
Middle East and North Africa,Azerbaijan,Baby Food,Online,M,349880063,6141,255.28,159.42,1567674.48,978998.22,588676.26
Asia,Brunei,Cosmetics,Online,M,380072295,693,437.2,263.33,302979.6,182487.69,120491.91
Middle East and North Africa,Egypt,Household,Online,C,545135438,6545,668.27,502.54,4373827.15,3289124.3,1084702.85
Middle East and North Africa,United Arab Emirates,Baby Food,Offline,C,110743319,264,255.28,159.42,67393.92,42086.88,25307.04
Sub-Saharan Africa,Mauritius,Cosmetics,Offline,C,662882268,449,437.2,263.33,196302.8,118235.17,78067.63
Sub-Saharan Africa,Guinea,Meat,Offline,C,257851111,2729,421.89,364.69,1151337.81,995239.01,156098.8
Sub-Saharan Africa,Zimbabwe,Baby Food,Offline,M,172261178,4765,255.28,159.42,1216409.2,759636.3,456772.9
Europe,Romania,Personal Care,Offline,L,853036296,1251,81.73,56.67,102244.23,70894.17,31350.06
Europe,Switzerland,Fruits,Offline,M,567412793,8910,9.33,6.92,83130.3,61657.2,21473.1
North America,Canada,Clothes,Offline,H,352939498,1495,109.28,35.84,163373.6,53580.8,109792.8
Sub-Saharan Africa,Togo,Clothes,Online,M,867477738,4795,109.28,35.84,523997.6,171852.8,352144.8
Europe,Ireland,Cosmetics,Offline,H,139201343,1625,437.2,263.33,710450,427911.25,282538.75
Central America and the Caribbean,Panama,Fruits,Offline,C,316596639,6836,9.33,6.92,63779.88,47305.12,16474.76
Sub-Saharan Africa,Central African Republic,Beverages,Online,H,918462455,2305,47.45,31.79,109372.25,73275.95,36096.3
Europe,Ukraine,Cosmetics,Online,C,183910119,1946,437.2,263.33,850791.2,512440.18,338351.02
Europe,Luxembourg,Clothes,Online,H,922363460,6700,109.28,35.84,732176,240128,492048
Central America and the Caribbean,El Salvador,Household,Online,M,163558804,9540,668.27,502.54,6375295.8,4794231.6,1581064.2
Sub-Saharan Africa,Cameroon,Fruits,Offline,L,407544982,472,9.33,6.92,4403.76,3266.24,1137.52
Middle East and North Africa,Iraq,Meat,Online,H,174683320,1531,421.89,364.69,645913.59,558340.39,87573.2
Australia and Oceania,New Zealand,Household,Offline,H,755647647,1786,668.27,502.54,1193530.22,897536.44,295993.78
Sub-Saharan Africa,Mali,Meat,Online,H,361424291,2334,421.89,364.69,984691.26,851186.46,133504.8
Sub-Saharan Africa,Togo,Baby Food,Online,H,873312079,1306,255.28,159.42,333395.68,208202.52,125193.16
Europe,Austria,Beverages,Offline,C,192922341,8863,47.45,31.79,420549.35,281754.77,138794.58
Europe,Monaco,Cereal,Online,L,792178905,2197,205.7,117.11,451922.9,257290.67,194632.23
Sub-Saharan Africa,Botswana,Baby Food,Online,C,263318097,531,255.28,159.42,135553.68,84652.02,50901.66
Sub-Saharan Africa,Equatorial Guinea,Office Supplies,Online,H,768888747,122,651.21,524.96,79447.62,64045.12,15402.5
Middle East and North Africa,Turkey,Household,Offline,H,491752183,9254,668.27,502.54,6184170.58,4650505.16,1533665.42
Middle East and North Africa,Somalia,Fruits,Offline,H,385082232,3245,9.33,6.92,30275.85,22455.4,7820.45
Central America and the Caribbean,El Salvador,Meat,Offline,C,122365224,9444,421.89,364.69,3984329.16,3444132.36,540196.8
Central America and the Caribbean,Haiti,Household,Online,H,347399985,2231,668.27,502.54,1490910.37,1121166.74,369743.63
Europe,Serbia,Beverages,Online,M,424297845,8016,47.45,31.79,380359.2,254828.64,125530.56
Sub-Saharan Africa,Lesotho,Office Supplies,Offline,M,687482631,243,651.21,524.96,158244.03,127565.28,30678.75
Australia and Oceania,Solomon Islands,Cosmetics,Offline,H,191690671,4384,437.2,263.33,1916684.8,1154438.72,762246.08
Australia and Oceania,Fiji,Cereal,Online,C,761970794,2945,205.7,117.11,605786.5,344888.95,260897.55
Europe,Ireland,Baby Food,Online,H,243684327,462,255.28,159.42,117939.36,73652.04,44287.32
Europe,San Marino,Clothes,Offline,M,152505099,8503,109.28,35.84,929207.84,304747.52,624460.32
Middle East and North Africa,Somalia,Cereal,Online,M,724419438,665,205.7,117.11,136790.5,77878.15,58912.35
Asia,Nepal,Household,Offline,M,465726172,7579,668.27,502.54,5064818.33,3808750.66,1256067.67
Europe,Georgia,Baby Food,Online,L,203036630,1905,255.28,159.42,486308.4,303695.1,182613.3
Sub-Saharan Africa,Republic of the Congo,Meat,Online,M,833274638,3337,421.89,364.69,1407846.93,1216970.53,190876.4
Sub-Saharan Africa,Guinea-Bissau,Household,Offline,H,173676526,3598,668.27,502.54,2404435.46,1808138.92,596296.54
Europe,Ukraine,Snacks,Offline,C,611791121,1443,152.58,97.44,220172.94,140605.92,79567.02
Sub-Saharan Africa,Mali,Cosmetics,Offline,C,555479753,7658,437.2,263.33,3348077.6,2016581.14,1331496.46
Sub-Saharan Africa,Zimbabwe,Beverages,Offline,H,282916247,59,47.45,31.79,2799.55,1875.61,923.94
Australia and Oceania,Vanuatu,Cereal,Online,C,592586934,8497,205.7,117.11,1747832.9,995083.67,752749.23
Central America and the Caribbean,Dominican Republic,Clothes,Online,M,553290641,9851,109.28,35.84,1076517.28,353059.84,723457.44
Asia,Vietnam,Clothes,Online,C,654138696,3031,109.28,35.84,331227.68,108631.04,222596.64
Europe,San Marino,Cereal,Offline,C,554554927,3981,205.7,117.11,818891.7,466214.91,352676.79
Europe,Bosnia and Herzegovina,Office Supplies,Offline,H,434275662,674,651.21,524.96,438915.54,353823.04,85092.5
Sub-Saharan Africa,Equatorial Guinea,Personal Care,Online,L,543349730,8115,81.73,56.67,663238.95,459877.05,203361.9
Sub-Saharan Africa,Guinea-Bissau,Baby Food,Offline,C,752138459,3339,255.28,159.42,852379.92,532303.38,320076.54
Sub-Saharan Africa,Mali,Vegetables,Online,L,101315677,415,154.06,90.93,63934.9,37735.95,26198.95
Asia,Sri Lanka,Cereal,Online,C,851867711,5441,205.7,117.11,1119213.7,637195.51,482018.19
Europe,Germany,Personal Care,Offline,H,835093390,1547,81.73,56.67,126436.31,87668.49,38767.82
Asia,Sri Lanka,Cereal,Online,L,202604043,3893,205.7,117.11,800790.1,455909.23,344880.87
Europe,Croatia,Beverages,Online,M,976323497,4674,47.45,31.79,221781.3,148586.46,73194.84
Sub-Saharan Africa,Mauritius,Cosmetics,Online,C,298488080,8111,437.2,263.33,3546129.2,2135869.63,1410259.57
Sub-Saharan Africa,Senegal,Beverages,Online,M,781646621,5460,47.45,31.79,259077,173573.4,85503.6
North America,United States of America,Fruits,Online,M,158660447,7,9.33,6.92,65.31,48.44,16.87
Europe,Lithuania,Beverages,Online,H,732703387,2069,47.45,31.79,98174.05,65773.51,32400.54
Sub-Saharan Africa,Nigeria,Beverages,Offline,H,827261769,3996,47.45,31.79,189610.2,127032.84,62577.36
Central America and the Caribbean,Saint Kitts and Nevis,Beverages,Online,C,636134421,5166,47.45,31.79,245126.7,164227.14,80899.56
Europe,Slovenia,Household,Online,C,873432672,6992,668.27,502.54,4672543.84,3513759.68,1158784.16
Europe,Serbia,Clothes,Online,C,523580348,7915,109.28,35.84,864951.2,283673.6,581277.6
Central America and the Caribbean,Belize,Personal Care,Online,H,891313779,8409,81.73,56.67,687267.57,476538.03,210729.54
Asia,Taiwan,Clothes,Offline,M,651681792,5979,109.28,35.84,653385.12,214287.36,439097.76
Europe,Greece,Personal Care,Online,M,800045716,161,81.73,56.67,13158.53,9123.87,4034.66
Australia and Oceania,New Zealand,Office Supplies,Online,L,602079379,7523,651.21,524.96,4899052.83,3949274.08,949778.75
Europe,Malta,Vegetables,Online,M,743769109,6662,154.06,90.93,1026347.72,605775.66,420572.06
Sub-Saharan Africa,Cameroon,Household,Online,C,181413733,3210,668.27,502.54,2145146.7,1613153.4,531993.3
Central America and the Caribbean,Antigua and Barbuda,Fruits,Online,C,191624581,4827,9.33,6.92,45035.91,33402.84,11633.07
Middle East and North Africa,Qatar,Fruits,Offline,L,321325480,6205,9.33,6.92,57892.65,42938.6,14954.05
Sub-Saharan Africa,Mali,Office Supplies,Online,H,637752759,4069,651.21,524.96,2649773.49,2136062.24,513711.25
Sub-Saharan Africa,Ghana,Clothes,Online,L,378455245,2172,109.28,35.84,237356.16,77844.48,159511.68
Europe,San Marino,Snacks,Offline,L,201294267,6302,152.58,97.44,961559.16,614066.88,347492.28
Sub-Saharan Africa,Comoros,Meat,Offline,C,834443652,9275,421.89,364.69,3913029.75,3382499.75,530530
Asia,Tajikistan,Cereal,Online,M,826389729,5940,205.7,117.11,1221858,695633.4,526224.6
Sub-Saharan Africa,Gabon,Vegetables,Offline,M,595931327,8177,154.06,90.93,1259748.62,743534.61,516214.01
North America,Greenland,Personal Care,Offline,H,182179772,9898,81.73,56.67,808963.54,560919.66,248043.88
Sub-Saharan Africa,Mali,Fruits,Offline,M,594558894,2044,9.33,6.92,19070.52,14144.48,4926.04
Sub-Saharan Africa,Guinea-Bissau,Meat,Online,M,662805020,7589,421.89,364.69,3201723.21,2767632.41,434090.8
Asia,South Korea,Household,Offline,L,186966979,6539,668.27,502.54,4369817.53,3286109.06,1083708.47
Asia,Vietnam,Clothes,Online,C,387406098,928,109.28,35.84,101411.84,33259.52,68152.32
Australia and Oceania,Australia,Beverages,Online,C,754796206,9826,47.45,31.79,466243.7,312368.54,153875.16
Middle East and North Africa,Iraq,Beverages,Offline,C,400123631,4329,47.45,31.79,205411.05,137618.91,67792.14
Asia,Mongolia,Beverages,Online,C,304687201,2569,47.45,31.79,121899.05,81668.51,40230.54
Sub-Saharan Africa,Cape Verde,Meat,Offline,L,170098245,4705,421.89,364.69,1984992.45,1715866.45,269126
Europe,Portugal,Meat,Online,L,668280589,7932,421.89,364.69,3346431.48,2892721.08,453710.4
Sub-Saharan Africa,Djibouti,Personal Care,Offline,C,291470563,1472,81.73,56.67,120306.56,83418.24,36888.32
Middle East and North Africa,Somalia,Fruits,Offline,M,302216994,1579,9.33,6.92,14732.07,10926.68,3805.39
Central America and the Caribbean,Grenada,Cereal,Offline,L,683381211,6542,205.7,117.11,1345689.4,766133.62,579555.78
Sub-Saharan Africa,Niger,Office Supplies,Online,L,588137042,1675,651.21,524.96,1090776.75,879308,211468.75
Sub-Saharan Africa,Rwanda,Personal Care,Offline,C,589970815,4329,81.73,56.67,353809.17,245324.43,108484.74
Australia and Oceania,Fiji,Baby Food,Offline,M,432681357,8884,255.28,159.42,2267907.52,1416287.28,851620.24
Europe,Albania,Household,Online,C,380379998,1749,668.27,502.54,1168804.23,878942.46,289861.77
Europe,Netherlands,Clothes,Online,H,767490565,6368,109.28,35.84,695895.04,228229.12,467665.92
Australia and Oceania,East Timor,Vegetables,Online,M,648749387,8215,154.06,90.93,1265602.9,746989.95,518612.95
Central America and the Caribbean,Barbados,Fruits,Online,L,949205291,9794,9.33,6.92,91378.02,67774.48,23603.54
Asia,Sri Lanka,Meat,Offline,H,414219605,5641,421.89,364.69,2379881.49,2057216.29,322665.2
Sub-Saharan Africa,Chad,Snacks,Offline,C,559466159,7324,152.58,97.44,1117495.92,713650.56,403845.36
Europe,Iceland,Snacks,Offline,L,720931279,8441,152.58,97.44,1287927.78,822491.04,465436.74
North America,Mexico,Office Supplies,Offline,H,304913794,9623,651.21,524.96,6266593.83,5051690.08,1214903.75
Europe,United Kingdom,Snacks,Online,L,138025033,3529,152.58,97.44,538454.82,343865.76,194589.06
Asia,Brunei,Clothes,Offline,H,217188823,9854,109.28,35.84,1076845.12,353167.36,723677.76
Central America and the Caribbean,Grenada,Meat,Online,M,159641492,320,421.89,364.69,135004.8,116700.8,18304
Europe,Andorra,Meat,Offline,H,552931869,3682,421.89,364.69,1553398.98,1342788.58,210610.4
Sub-Saharan Africa,Zimbabwe,Snacks,Offline,L,704921281,727,152.58,97.44,110925.66,70838.88,40086.78
Sub-Saharan Africa,Guinea-Bissau,Snacks,Online,L,893783557,9271,152.58,97.44,1414569.18,903366.24,511202.94
Asia,Brunei,Office Supplies,Online,H,118005025,9164,651.21,524.96,5967688.44,4810733.44,1156955
Middle East and North Africa,Iran,Snacks,Offline,M,146384513,7285,152.58,97.44,1111545.3,709850.4,401694.9
Sub-Saharan Africa,Cape Verde,Clothes,Online,C,568033349,2546,109.28,35.84,278226.88,91248.64,186978.24
Europe,Liechtenstein,Fruits,Online,L,142375361,888,9.33,6.92,8285.04,6144.96,2140.08
Asia,Brunei,Beverages,Online,C,849146878,286,47.45,31.79,13570.7,9091.94,4478.76
Central America and the Caribbean,Panama,Personal Care,Online,H,238396728,5744,81.73,56.67,469457.12,325512.48,143944.64
Middle East and North Africa,Yemen,Snacks,Online,H,880486238,4299,152.58,97.44,655941.42,418894.56,237046.86
Europe,Belgium,Cosmetics,Offline,C,916089236,17,437.2,263.33,7432.4,4476.61,2955.79
Asia,Brunei,Cereal,Online,H,806192052,8998,205.7,117.11,1850888.6,1053755.78,797132.82
Asia,Malaysia,Cereal,Online,M,182093513,4372,205.7,117.11,899320.4,512004.92,387315.48
Asia,Japan,Fruits,Offline,H,995404946,1299,9.33,6.92,12119.67,8989.08,3130.59
Sub-Saharan Africa,South Sudan,Beverages,Online,C,768050181,1971,47.45,31.79,93523.95,62658.09,30865.86
Europe,Luxembourg,Fruits,Offline,L,242265546,614,9.33,6.92,5728.62,4248.88,1479.74
Sub-Saharan Africa,Swaziland,Office Supplies,Offline,M,230599868,8480,651.21,524.96,5522260.8,4451660.8,1070600
Europe,Malta,Cosmetics,Online,M,265914475,8857,437.2,263.33,3872280.4,2332313.81,1539966.59
North America,Canada,Household,Offline,M,851383197,2062,668.27,502.54,1377972.74,1036237.48,341735.26
Central America and the Caribbean,Jamaica,Personal Care,Offline,L,310492360,444,81.73,56.67,36288.12,25161.48,11126.64
Europe,Slovakia,Snacks,Online,L,637040793,3382,152.58,97.44,516025.56,329542.08,186483.48
Sub-Saharan Africa,Mauritania,Beverages,Online,H,745139825,2288,47.45,31.79,108565.6,72735.52,35830.08
Sub-Saharan Africa,Burkina Faso,Household,Online,M,519213283,5603,668.27,502.54,3744316.81,2815731.62,928585.19
Asia,Kazakhstan,Vegetables,Online,C,363997495,3802,154.06,90.93,585736.12,345715.86,240020.26
Europe,Andorra,Personal Care,Offline,L,754541289,4390,81.73,56.67,358794.7,248781.3,110013.4
Central America and the Caribbean,Jamaica,Household,Online,H,886205995,6902,668.27,502.54,4612399.54,3468531.08,1143868.46
Sub-Saharan Africa,Republic of the Congo,Baby Food,Online,C,924665439,7906,255.28,159.42,2018243.68,1260374.52,757869.16
Asia,Myanmar,Household,Online,H,655905950,6001,668.27,502.54,4010288.27,3015742.54,994545.73
Sub-Saharan Africa,Benin,Beverages,Offline,H,836226356,6816,47.45,31.79,323419.2,216680.64,106738.56
Middle East and North Africa,Turkey,Household,Offline,C,942237985,8013,668.27,502.54,5354847.51,4026853.02,1327994.49
Asia,South Korea,Cereal,Online,H,520864665,4284,205.7,117.11,881218.8,501699.24,379519.56
Middle East and North Africa,Bahrain,Snacks,Offline,H,539342725,2353,152.58,97.44,359020.74,229276.32,129744.42
Asia,Kyrgyzstan,Baby Food,Offline,M,235220992,5974,255.28,159.42,1525042.72,952375.08,572667.64
Asia,Tajikistan,Cereal,Online,C,266360795,933,205.7,117.11,191918.1,109263.63,82654.47
Asia,Singapore,Baby Food,Online,H,460935962,49,255.28,159.42,12508.72,7811.58,4697.14
Sub-Saharan Africa,Botswana,Cereal,Online,M,267432820,8169,205.7,117.11,1680363.3,956671.59,723691.71
Sub-Saharan Africa,Seychelles,Cereal,Offline,H,104650199,7174,205.7,117.11,1475691.8,840147.14,635544.66
Central America and the Caribbean,Honduras,Cosmetics,Online,L,911699426,975,437.2,263.33,426270,256746.75,169523.25
Middle East and North Africa,Yemen,Baby Food,Offline,L,998004329,514,255.28,159.42,131213.92,81941.88,49272.04
Asia,Cambodia,Personal Care,Online,L,993301236,8764,81.73,56.67,716281.72,496655.88,219625.84
Europe,Serbia,Vegetables,Offline,L,697638976,5731,154.06,90.93,882917.86,521119.83,361798.03
Middle East and North Africa,Bahrain,Cosmetics,Online,C,431378877,3451,437.2,263.33,1508777.2,908751.83,600025.37
Australia and Oceania,Federated States of Micronesia,Vegetables,Offline,C,585194766,990,154.06,90.93,152519.4,90020.7,62498.7
